partida_id,rodada,clube,atleta,minuto,tipo_de_gol
5437,8,Sao Paulo,Jonathan Calleri,76,
5438,8,Gremio,Giuliano Victor de Paula,83,
5439,8,Athletico-PR,Walter Henrique da Silva,93,
5440,8,Santos,Vitor Bueno,88,
5443,8,Coritiba,Leandro,95,
5445,8,Internacional,Victor Vinícius Coelho Santos,75,
5448,9,Athletico-PR,Paulo André,88,
5450,9,Chapecoense,Thiego,76,
5451,9,Atletico-MG,Carlos Júnior,85,
5452,9,Corinthians,Bruno Henrique Corsini,89,
5454,9,Internacional,Victor Vinícius Coelho Santos,83,
5455,9,Fluminense,Magno Alves,85,
5458,10,Cruzeiro,Alisson Euler de Freitas Castro,78,Penalty
5462,10,Corinthians,Lucca Borges de Brito,90,
5470,11,Fluminense,Richarlison,76,
5474,11,Santos,Lucas Rafael Araújo Lima,90,
5475,11,Sport,Ronaldo,77,
5478,12,Sport,Matheus Ferraz Pereira,78,
5479,12,Santos,José Carlos Cracco Neto,83,
5480,12,Coritiba,Colin Kâzım-Richards,81,
5481,12,Chapecoense,Everton Kempes dos Santos Gonçalves,89,
5483,12,Corinthians,Marquinhos,75,Penalty
5485,12,Palmeiras,Gabriel Jesus,91,
5486,12,Botafogo-RJ,Bruno César Pereira da Silva,92,
5489,13,Vitoria,Vander Luiz Silva Souza,83,
5491,13,Santos,Yuri Oliveira Lima,87,
5493,13,Corinthians,Guilherme Milhomem Gusmão,78,
5497,14,Corinthians,Marquinhos,92,
5499,14,Ponte Preta,Douglas Grolli,79,
5500,14,Gremio,Deyvison Rogério da Silva,93,
5505,14,Athletico-PR,André Lima,82,
5507,15,Botafogo-RJ,Neilton Mestzk,80,
5508,15,Ponte Preta,Roger Rodrigues da Silva,84,
5515,15,Sport,Diego Souza,75,Penalty
5516,15,Atletico-MG,Robinho,85,
5517,16,Corinthians,Danilo Gabriel de Andrade,84,
5520,16,Internacional,Ariel Nahuelpán,82,
5523,16,Cruzeiro,Willian Gomes de Siqueira,92,
5524,16,Chapecoense,Lucas Gomes,88,
5525,16,Santos,Jean Mota Oliveira de Souza,82,
5526,16,America-MG,Juninho,77,
5530,17,Sao Paulo,Christian Cueva,86,Penalty
5532,17,Flamengo,Marcelo Cirino da Silva,89,
5535,17,Botafogo-RJ,Camilo,87,Penalty
5537,18,Vitoria,Mário Sérgio Santos Costa,88,
5538,18,Sport,Mark González,93,
5540,18,Athletico-PR,Walter Henrique da Silva,76,
5541,18,Ponte Preta,Reinaldo Manoel da Silva,85,
5545,18,Palmeiras,Jean Raphael Vanderlei Moreira,85,Penalty
5546,18,Fluminense,Magno Alves,79,
5548,19,America-MG,Juninho,90,
5549,19,Coritiba,Juan Maldonado Jaimez Júnior,80,Penalty
5550,19,Vitoria,Thiago Martins Bueno,75,Gol Contra
5551,19,Santa Cruz,Keno,84,
5552,19,Internacional,Fernando Paixão da Silva,78,
5553,19,Sport,Túlio de Melo,82,Penalty
5554,19,Atletico-MG,Maicosuel,79,
5556,19,Gremio,Matheus dos Santos Batista,80,
5558,20,Ponte Preta,Roger Rodrigues da Silva,83,
5562,20,Santos,Ricardo Oliveira,94,
5563,20,Santa Cruz,Matías Pisano,83,
5564,20,Botafogo-RJ,Luiz Ricardo Alves,93,
5566,20,Chapecoense,Alejandro Martinuccio,91,
5567,21,Chapecoense,Alison Wágner Lira Ferreira,92,Gol Contra
5568,21,Botafogo-RJ,Camilo,92,
5571,21,Internacional,Eugenio Mena,85,Gol Contra
5574,21,Coritiba,Iago Dias,86,
5575,21,Figueirense,Wéverton Almeida Santos,88,
5580,22,Atletico-MG,Robinho,87,
5582,22,Flamengo,Federico Mancuello,91,
5584,22,Sport,Vinícius Vasconcelos Araújo,89,
5585,22,America-MG,Danilo Barcelos,86,
5587,23,Chapecoense,Bruno Rangel,87,Penalty
5592,23,Flamengo,Luiz Fernando Pereira da Silva,90,
5599,24,Figueirense,Carlos Alberto Gomes de Jesus,87,Penalty
5600,24,Botafogo-RJ,Camilo,80,
5601,24,Sport,Luis Carlos Ruiz,80,
5603,24,Santos,Renato Dirnei Florêncio,85,
5606,24,Fluminense,Gustavo Scarpa,77,
5608,25,America-MG,Osman,80,
5609,25,Ponte Preta,Roger Rodrigues da Silva,76,
5610,25,Santa Cruz,Bruno Eduardo Moraes,91,
5612,25,Palmeiras,Gabriel Jesus,82,
5614,25,Chapecoense,Lourency do Nascimento Rodrigues,89,
5617,26,Palmeiras,Yerry Mina,76,
5619,26,Cruzeiro,Róbson Michael Signorini,76,
5623,26,Athletico-PR,Pablo Felipe Teixeira,80,
5624,26,Santa Cruz,Keno,101,
5626,26,America-MG,Michael Vinicius Silva de Morais,90,
5627,27,Coritiba,Iago Dias,76,
5630,27,Athletico-PR,Thiago Heleno,78,
5633,27,Fluminense,Cícero Santos,94,
5634,27,Flamengo,Federico Mancuello,89,
5636,27,Atletico-MG,Lucas Pratto,81,
5637,28,Fluminense,Gustavo Scarpa,87,
5640,28,Santos,Paulinho,83,
5642,28,Ponte Preta,Roger Rodrigues da Silva,79,
5645,28,Palmeiras,Róger Guedes,80,
5647,29,Athletico-PR,Pablo Felipe Teixeira,84,
5650,29,Santos,Ricardo Oliveira,80,
5652,29,Internacional,Victor Vinícius Coelho Santos,87,Penalty
5653,29,Cruzeiro,Róbson Michael Signorini,81,
5654,29,Flamengo,Marcelo Cirino da Silva,87,
5655,29,Palmeiras,Alecsandro,88,
5656,29,Botafogo-RJ,Bruno César Pereira da Silva,92,
5657,30,Chapecoense,Everton Kempes dos Santos Gonçalves,90,
5659,30,Santa Cruz,Keno,81,
5660,30,Botafogo-RJ,Luiz Ricardo Alves,85,Penalty
5663,30,Atletico-MG,Lucas Pratto,85,
5667,31,Botafogo-RJ,Dudu Cearense,91,
5670,31,Internacional,Victor Vinícius Coelho Santos,81,
5671,31,Palmeiras,Jean Raphael Vanderlei Moreira,84,
5676,31,Sao Paulo,Rodrigo Caio,81,
5677,32,Botafogo-RJ,Rodrigo Pimpão,87,
5678,32,Sao Paulo,David Neres Campos,82,
5684,32,Atletico-MG,Júnior Urso,88,
5686,32,America-MG,Éder Lima dos Santos,85,
5688,33,Vitoria,Mário Sérgio Santos Costa,88,
5689,33,Atletico-MG,Lucas Pratto,87,
5691,33,Chapecoense,Bruno Rangel,84,Penalty
5698,34,Sao Paulo,Luiz Araújo,93,
5699,34,Santos,Jonathan Copete,89,
5701,34,Fluminense,Ramón Ábila,93,Gol Contra
5703,34,Vitoria,Mário Sérgio Santos Costa,82,
5704,34,Coritiba,Kléber,93,Penalty
5705,34,Chapecoense,Everton Kempes dos Santos Gonçalves,76,
5706,34,Sport,Diego Souza,90,
5709,35,Coritiba,Leandro,75,
5712,35,Figueirense,Rafael Moura,93,
5713,35,Santos,Jonathan Copete,84,
5718,36,Cruzeiro,Manoel Messias Silva Carvalho,89,
5723,36,Coritiba,Kléber,88,
5725,36,Atletico-MG,Hyuri,80,
5727,37,Sport,Ronaldo Alves,80,
5730,37,Sao Paulo,Gilberto Oliveira Souza Junior,91,
5732,37,Flamengo,Diego Ribas,87,
5733,37,Internacional,Valdívia,75,
5735,37,Santa Cruz,Arthur Caike do Nascimento Cruz,90,
5738,38,Internacional,Gustavo Ferrareis,88,
5740,38,Sao Paulo,Luiz Araújo,82,
5742,38,Sport,Diego Souza,89,
5748,1,Santos,Vladimir Hernández,87,
5751,1,Ponte Preta,Clayson Henrique da Silva Vieira,92,
5753,1,Palmeiras,Miguel Borja,80,Penalty
5759,2,Vasco,Luís Fabiano,75,
5761,2,Corinthians,Jô,75,
5765,2,Sao Paulo,Luiz Araújo,91,
5766,3,Vasco,Nenê,93,
5767,3,Sao Paulo,Luiz Araújo,83,
5769,3,Atletico-MG,Rafael Moura,80,
5771,3,Cruzeiro,Thiago Neves,83,
5773,3,Gremio,Luiz Fernando Pereira da Silva,87,Penalty
5778,4,Corinthians,Jô,75,
5783,4,Gremio,Luan Guilherme de Jesus Vieira,93,
5789,5,Santos,Victor Ferraz,96,
5790,5,Corinthians,Clayton da Silveira da Silva,84,
5791,5,Sport,Thomás Jaguaribe Bedinelli,84,
5792,5,Atletico-GO,Luiz Fernando Moraes dos Santos,77,
5793,5,Sao Paulo,Lucas Pratto,93,
5794,5,Gremio,Luan Guilherme de Jesus Vieira,91,
5796,6,Palmeiras,Róger Guedes,94,
5797,6,Sport,André Felipe Ribeiro de Souza,94,Penalty
5802,6,Sao Paulo,Wellington Nem,84,
5803,6,Cruzeiro,Ramón Ábila,80,Penalty
5805,6,Gremio,Bruno Cortês,86,
5806,7,Athletico-PR,Sidcley Ferreira Pereira,90,
5807,7,Atletico-GO,Everaldo Stum,92,Penalty
5808,7,Vitoria,Kieza,76,
5815,7,Gremio,Luan Guilherme de Jesus Vieira,80,
5820,8,Palmeiras,Willian Gomes de Siqueira,92,
5821,8,Fluminense,Henrique Dourado,81,Penalty
5823,8,Atletico-MG,Rafael Moura,81,
5824,8,Vitoria,André Lima,79,
5826,9,Santos,Jonathan Copete,77,
5828,9,Vasco,Caio Monteiro,84,
5832,9,Corinthians,Fabián Balbuena,79,
5834,9,Gremio,Luiz Fernando Pereira da Silva,85,
5835,9,Flamengo,Paolo Guerrero,75,
5836,10,Sport,Osvaldo Filho,81,
5840,10,Athletico-PR,Matheus Rossetto,81,
5846,11,Palmeiras,Machado,78,Gol Contra
5848,11,Sport,Diego Souza,76,Penalty
5850,11,Atletico-MG,Fred,79,
5852,11,Corinthians,Jô,79,
5854,11,Coritiba,Kléber,88,
5855,11,Chapecoense,Arthur Caike do Nascimento Cruz,82,
5856,12,Vitoria,Uillian Correia,88,
5860,12,Bahia,João Paulo,84,
5861,12,Avai,Junior Dutra,85,
5862,12,Cruzeiro,José Élber Pimentel da Silva,92,
5863,12,Sao Paulo,Shaylon,75,
5864,12,Botafogo-RJ,Roger Rodrigues da Silva,93,
5865,12,Sport,Walisson,92,Gol Contra
5866,13,Bahia,Renê Júnior,85,
5867,13,Santos,Daniel Guedes,93,
5870,13,Cruzeiro,Rafael Marques Mariano,86,
5871,13,Vasco,Paulo Vitor Fernandes Pereira,91,
5872,13,Atletico-GO,Everaldo Stum,86,
5873,13,Sport,Diego Souza,92,
5875,13,Coritiba,Rildo de Andrade Felicissimo,80,
5876,14,Athletico-PR,Otávio Henrique Santos,82,
5877,14,Vitoria,David Corrêa da Fonseca,85,
5880,14,Chapecoense,Lucas Marques,91,
5882,14,Gremio,Everton Sousa Soares,88,
5883,14,Bahia,Renê Júnior,75,
5889,15,Ponte Preta,Lucca Borges de Brito,83,
5890,15,Bahia,Paulo Roberto Valoura Junior,88,
5894,15,Sport,André Felipe Ribeiro de Souza,81,
5897,16,Flamengo,Éverton Ribeiro,91,Penalty
5898,16,Santos,Bruno Henrique,76,
5902,16,Ponte Preta,Lucca Borges de Brito,93,Penalty
5903,16,Atletico-GO,Paulinho,76,
5906,17,Sao Paulo,Hernanes,85,
5908,17,Atletico-GO,Gilvan,84,
5910,17,Sport,Reinaldo Lenis,92,
5918,18,Corinthians,Rodrigo Eduardo Costa Marinho,83,
5920,18,Santos,Alison Lopes Ferreira,85,
5921,18,Gremio,Michel Ferreira dos Santos,83,
5922,18,Palmeiras,Deyverson,86,
5923,18,Athletico-PR,Eduardo Henrique,78,
5924,18,Sao Paulo,Denílson Pereira Júnior,88,
5925,18,Cruzeiro,Róbson Michael Signorini,88,
5926,19,Sport,Thallyson,83,
5938,20,Sao Paulo,Hernanes,82,Penalty
5941,20,Palmeiras,Alejandro Guerra,77,
5942,20,Athletico-PR,Sidcley Ferreira Pereira,86,
5945,20,Corinthians,Jô,90,
5947,21,Flamengo,Vinícius Júnior,75,
5949,21,Sao Paulo,Hernanes,79,Penalty
5951,21,Cruzeiro,Raniel,87,
5952,21,Ponte Preta,Emerson Sheik,88,
5954,21,Chapecoense,Túlio de Melo,95,
5955,21,Fluminense,Henrique Dourado,87,
5958,22,Atletico-MG,Rómulo Otero,89,
5959,22,Palmeiras,Keno,79,
5960,22,Botafogo-RJ,Bruno César Pereira da Silva,92,
5965,22,Gremio,Dionathã,83,
5968,23,Ponte Preta,Léo Gamalho,75,
5969,23,Athletico-PR,Felipe Gedoz,87,Penalty
5970,23,Santos,Ricardo Oliveira,93,
5972,23,Fluminense,Henrique Dourado,90,Penalty
5973,23,Chapecoense,Túlio de Melo,83,
5977,24,Atletico-GO,Ronaldo da Silva Souza,93,
5978,24,Atletico-MG,Rómulo Otero,83,
5981,24,Athletico-PR,Ribamar,80,
5982,24,Vitoria,Santiago Tréllez,90,
5983,24,Flamengo,Éverton Ribeiro,93,
5986,25,Flamengo,Rodinei de Almeida,81,
5988,25,Corinthians,Clayson Henrique da Silva Vieira,78,
5990,25,Botafogo-RJ,João Paulo,84,
5993,25,Vitoria,Santiago Tréllez,94,
5994,25,Bahia,Rodrigão,97,Penalty
5995,25,Sport,André Felipe Ribeiro de Souza,84,
5998,26,Santos,Ricardo Oliveira,76,
5999,26,Corinthians,Clayson Henrique da Silva Vieira,84,Penalty
6000,26,Vitoria,André Lima,90,
6002,26,Gremio,Beto da Silva,86,
6004,26,Atletico-MG,Robinho,83,
6006,28,Cruzeiro,Manoel Messias Silva Carvalho,76,
6008,28,Sao Paulo,Maicosuel,83,
6009,28,Flamengo,Diego Ribas,79,
6010,28,Atletico-GO,Walter Henrique da Silva,77,Penalty
6013,28,Gremio,Ramiro Moschen Benetti,92,
6014,28,Bahia,Régis,94,
6016,27,Atletico-GO,Walter Henrique da Silva,82,
6017,27,Botafogo-RJ,Vinícius Tanque,95,
6018,27,Corinthians,Clayson Henrique da Silva Vieira,79,
6022,27,Vitoria,Santiago Tréllez,83,
6025,27,Bahia,Edigar Junio,89,Penalty
6028,29,Chapecoense,Luiz Antônio de Souza Soares,80,
6029,29,Botafogo-RJ,Marcos Vinícius de Jesus Araújo,96,
6030,29,Fluminense,Robson Azevedo da Silva,85,Penalty
6032,29,Athletico-PR,Ribamar,79,
6034,29,Flamengo,Diego Ribas,87,
6035,29,Sport,José Rogério de Oliveira Melo,84,
6038,30,Bahia,Edigar Junio,89,
6039,30,Gremio,Michel Ferreira dos Santos,79,
6041,30,Athletico-PR,Felipe Gedoz,88,Penalty
6042,30,Atletico-MG,Robinho,81,
6045,30,Botafogo-RJ,Igor Rabello,76,
6053,31,Coritiba,Jonas Gomes de Sousa,78,
6055,31,Palmeiras,Miguel Borja,86,
6056,32,Santos,Ricardo Oliveira,79,
6057,32,Fluminense,Matheus Alessandro,87,
6059,32,Coritiba,Jonas Gomes de Sousa,85,
6062,32,Gremio,Luan Guilherme de Jesus Vieira,82,
6063,32,Bahia,Edigar Junio,93,
6064,32,Vitoria,André Lima,91,
6065,32,Sport,André Felipe Ribeiro de Souza,97,Penalty
6067,33,Bahia,Edigar Junio,79,
6068,33,Sport,André Felipe Ribeiro de Souza,85,
6069,33,Corinthians,Giovanni Augusto,77,
6070,33,Vasco,Evander,84,
6071,33,Flamengo,Vinícius Júnior,94,
6073,33,Sao Paulo,Robert Arboleda,82,
6078,34,Vasco,Caio Monteiro,75,
6080,34,Atletico-GO,Diego Rosa,76,
6086,35,Athletico-PR,Sidcley Ferreira Pereira,77,
6087,35,Cruzeiro,Judivan,78,Penalty
6090,35,Corinthians,Jadson,84,
6092,35,Chapecoense,Túlio de Melo,77,
6093,35,Palmeiras,Keno,92,
6095,35,Bahia,Edigar Junio,78,Penalty
6098,36,Cruzeiro,Alisson Euler de Freitas Castro,76,
6099,36,Atletico-GO,Luiz Fernando Moraes dos Santos,90,
6104,36,Fluminense,Henrique Dourado,86,
6109,37,Vitoria,Santiago Tréllez,81,
6116,38,Atletico-MG,Rómulo Otero,98,
6120,38,Flamengo,Rafael Vaz,75,
6122,38,Bahia,Éder,88,
6123,38,Chapecoense,Túlio de Melo,94,
6124,38,Ponte Preta,Lucca Borges de Brito,88,Penalty
6127,1,Vitoria,Denílson Pereira Júnior,76,
6130,1,Vasco,Wagner Ferreira dos Santos,87,
6132,1,Corinthians,Rodrigo Eduardo Costa Marinho,86,
6133,1,Athletico-PR,Matheus Rossetto,88,
6135,1,Botafogo-RJ,Igor Rabello,82,
6136,2,Bahia,Júnior Brumado,94,
6138,2,Corinthians,Clayson Henrique da Silva Vieira,80,
6140,2,Vitoria,Gabriel Costa França,88,Gol Contra
6145,2,Sport,Everton Felipe,86,
6146,3,Botafogo-RJ,Gilson Gomes do Nascimento,92,
6150,3,Parana,Jhonny Lucas,90,
6151,3,Atletico-MG,Róger Guedes,87,
6152,3,Fluminense,Pedro,89,
6154,3,Vitoria,Pedro Botelho,76,
6155,3,Vasco,Andrés Ríos,79,
6156,4,Vasco,Andrés Ríos,79,
6157,4,Sao Paulo,Diego Souza,82,
6159,4,Flamengo,Éverton Ribeiro,87,
6161,4,Palmeiras,Willian Gomes de Siqueira,85,
6162,4,Fluminense,Gilberto Moraes Júnior,86,
6163,4,Gremio,Arthur,80,
6169,5,Vitoria,Werley Ananias da Silva,76,Gol Contra
6171,5,Sao Paulo,Shaylon,93,
6172,5,Flamengo,Vinícius Júnior,78,
6173,5,Parana,Silvinho,93,
6175,5,Ceara,Pio,93,Penalty
6179,6,Vitoria,Neilton Mestzk,85,Penalty
6181,6,America-MG,Juninho,78,
6185,6,Internacional,Patrick,84,
6186,7,Fluminense,Pedro,87,
6187,7,Palmeiras,Hyoran,82,
6188,7,Flamengo,Éverton Ribeiro,80,
6190,7,Internacional,Rossicley Pereira da Silva,92,
6191,7,Bahia,José Rafael Vivian,89,
6192,7,Cruzeiro,Bruno César Pereira da Silva,75,
6194,7,Gremio,Thonny Anderson,81,
6197,8,Internacional,Nicolás Federico López,94,
6199,8,Chapecoense,Héctor Canteros,79,
6200,8,Botafogo-RJ,Rodrigo Pimpão,83,
6210,9,Flamengo,Felipe Vizeu,80,
6211,9,Gremio,Thaciano,93,
6212,9,America-MG,Serginho,76,
6213,9,Vitoria,Ramon Menezes Roma,84,
6215,9,Parana,Guilherme Biteco,88,
6219,10,Santos,Victor Ferraz,75,
6221,10,Palmeiras,Willian Gomes de Siqueira,87,
6224,10,Flamengo,Felipe Vizeu,79,
6225,10,Atletico-MG,Tomás Andrade,89,
6227,11,Chapecoense,Bruno da Silva Costa,80,
6228,11,Vasco,Ramon de Morais Motta,90,
6230,11,Atletico-MG,Ricardo Oliveira,87,
6231,11,Botafogo-RJ,Leonardo Valencia,84,
6233,11,Ceara,Elton Rodrigues Brandão,88,
6238,12,Santos,Bruno Henrique,86,
6240,12,Parana,Silvinho,76,
6243,12,Bahia,Eugenio Mena,91,
6245,12,Atletico-MG,Róger Guedes,81,
6248,13,Corinthians,Ángel Romero,76,
6251,13,Bahia,Gilberto Oliveira Souza Junior,79,
6253,13,Fluminense,Pedro,89,
6254,13,Santos,Gustavo Henrique Vernes,75,
6255,13,Internacional,Wellington Alves da Silva,78,
6257,14,Sao Paulo,Reinaldo Manoel da Silva,82,
6259,14,Atletico-MG,Yimmi Chará,81,
6262,14,Fluminense,Pedro,86,
6263,14,Cruzeiro,Hernán Barcos,81,
6265,14,Internacional,William Pottker,76,
6268,15,Corinthians,Ángel Romero,80,
6273,15,Internacional,Jonatan Álvez,89,
6274,15,Bahia,Gilberto Oliveira Souza Junior,87,
6277,16,Palmeiras,Lucas Rafael Araújo Lima,78,
6278,16,Corinthians,Ángel Romero,93,
6282,16,Sao Paulo,Éverton Cardoso da Silva,77,
6285,16,Atletico-MG,Ricardo Oliveira,92,
6289,17,Cruzeiro,Manoel Messias Silva Carvalho,75,
6292,17,Sao Paulo,Santiago Tréllez,81,
6293,17,Bahia,Edigar Junio,82,
6294,17,Sport,Carlos Henrique Alves Pereira,92,
6295,17,Internacional,Edenílson Andrade dos Santos,102,
6296,20,Ceara,Arthur Mendonça Cabral,78,
6299,20,Palmeiras,Lucas Rafael Araújo Lima,78,
6305,20,Chapecoense,Bruno Guimarães,78,Gol Contra
6308,18,Parana,Alex Paulo Menezes Santana,96,
6309,18,Atletico-MG,Ricardo Oliveira,95,
6310,18,Sao Paulo,Santiago Tréllez,90,
6312,18,Chapecoense,Agustín Doffo,95,
6313,18,Gremio,Everton Sousa Soares,82,
6316,19,Santos,Rodrygo Silva de Goes,82,
6319,19,Internacional,Camilo,96,
6321,19,Atletico-MG,Tomás Andrade,90,
6324,19,Sao Paulo,Hudson,83,
6326,21,Santos,Gabriel Barbosa,75,
6330,21,Botafogo-RJ,Rodrigo Aguirre,84,
6331,21,Sao Paulo,Bruno Peres,78,
6332,21,America-MG,Gérson Magrão,87,
6335,21,Chapecoense,Leandro,79,
6337,22,Gremio,André Felipe Ribeiro de Souza,76,Penalty
6338,22,Santos,Gabriel Barbosa,82,
